"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCA_028565255.1","Megaceryle alcyon","belted kingfisher",488309,"Aves","Coraciiformes","Alcedinidae","Megaceryle","2023-02-09","Illumina",17586
"GCA_019176425.1","Megalops atlanticus","tarpon",7932,"Actinopteri","Elopiformes","Megalopidae","Megalops","2021-07-09","Oxford Nanopore MinION; Oxford Nanopore PromethION; Illumina HiSeq",17756893
"GCF_013368585.1","Megalops cyprinoides","Indo-Pacific tarpon",118141,"Actinopteri","Elopiformes","Megalopidae","Megalops","2020-06-23","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",26850664
"GCA_004329385.1","Megaptera novaeangliae","humpback whale",9773,"Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera","2019-03-06","Illumina HiSeq",12321
"GCA_029620185.1","Melanitta fusca","velvet scoter",371864,"Aves","Anseriformes","Anatidae","Melanitta","2023-04-07","Illumina HiSeq",106788
"GCA_900291075.1","Melanogrammus aeglefinus","haddock",8056,"Actinopteri","Gadiformes","Gadidae","Melanogrammus","2018-03-19",NA,77605
"GCA_900302345.1","Melanonus zugmayeri","arrowtail",181410,"Actinopteri","Gadiformes","Melanonidae","Melanonus","2018-03-19",NA,4562
"GCA_949748355.1","Melanostigma gelatinosum","limp eelpout",1091424,"Actinopteri","Perciformes","Zoarcidae","Melanostigma","2023-04-08","PacBio,Arima2",1934223
"GCA_013363375.1","Menidia beryllina","inland silverside",269057,"Actinopteri","Atheriniformes","Atherinopsidae","Menidia","2020-06-19","Illumina",40093
"GCA_907169785.1","Menidia menidia","Atlantic silverside",238744,"Actinopteri","Atheriniformes","Atherinopsidae","Menidia","2021-05-15",NA,44269
"GCA_900323355.1","Merlangius merlangus","whiting",8058,"Actinopteri","Gadiformes","Gadidae","Merlangius","2018-03-26",NA,3538
"GCA_027123055.1","Merluccius bilinearis","silver hake",79698,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2022-12-20","Illumina",1848
"GCA_900312945.1","Merluccius capensis","shallow-water Cape hake",89947,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2018-03-18",NA,3792
"GCA_027122755.1","Merluccius hubbsi","Argentine hake",89949,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2022-12-20","Illumina",2431
"GCA_900312545.1","Merluccius merluccius","European hake",8063,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2018-03-18",NA,3670
"GCA_027123235.1","Merluccius paradoxus","deep-water Cape hake",89950,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2022-12-20","Illumina",4003
"GCA_030340625.1","Merluccius polli","Benguela hake",89951,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2023-06-23","PacBio Sequel; Illumina HiSeq",168117
"GCA_027122575.1","Merluccius polylepis",NA,2705414,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2022-12-20","Illumina",3412
"GCA_027122695.1","Merluccius productus","North Pacific hake",89952,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","2022-12-20","Illumina",4343
"GCA_004027085.1","Mesoplodon bidens","Sowerby's beaked whale",48745,"Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","2019-01-16","Illumina HiSeq",28959
"GCA_025265405.1","Mesoplodon densirostris","Blainville's beaked whale",48708,"Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","2022-09-19",NA,48253041
"GCA_001593715.1","Miichthys miiuy","Mi-iuy croaker",240162,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Miichthys","2016-03-17","Illumina Hiseq 2000",81271
"GCF_021288785.2","Mirounga angustirostris","Northern elephant seal",9716,"Mammalia","Carnivora","Phocidae","Mirounga","2022-12-21","Illumina NovaSeq 6000",76189
"GCF_011800145.1","Mirounga leonina","Southern elephant seal",9715,"Mammalia","Carnivora","Phocidae","Mirounga","2020-03-31","Illumina NovaSeq",197952
"GCA_030035685.1","Mobula birostris","giant manta",1983395,"Elasmobranchii","Myliobatiformes","Myliobatidae","Manta","2023-05-22","PacBio Sequel II HiFi; Arima Hi-C v2",8612779
"GCA_001698575.1","Mola mola","ocean sunfish",94237,"Actinopteri","Tetraodontiformes","Molidae","Mola","2016-08-08","Illumina Hiseq 2000",23239
"GCA_027123675.1","Molva macrophthalma",NA,348445,"Actinopteri","Gadiformes","Lotidae","Molva","2022-12-20","Illumina",4871
"GCA_900323295.1","Molva molva","ling",163112,"Actinopteri","Gadiformes","Lotidae","Molva","2018-03-26",NA,4136
"GCA_900323365.1","Monocentris japonicus","pineconefish",181435,"Actinopteri","Trachichthyiformes","Monocentridae","Monocentris","2018-03-26",NA,8046
"GCF_005190385.1","Monodon monoceros","narwhal",40151,"Mammalia","Cetartiodactyla","Monodontidae","Monodon","2019-05-06","10X Genomics; Dovetail Chicago; Dovetail Hi-C; PacBio",255327
"GCA_005190385.3","Monodon monoceros","narwhal",40151,"Mammalia","Cetartiodactyla","Monodontidae","Monodon","2022-11-09","PacBio; Dovetail Omni-C",22031227
"GCA_900303205.1","Mora moro",NA,248765,"Actinopteri","Gadiformes","Moridae","Mora","2018-03-18",NA,3267
"GCF_004916995.1","Morone saxatilis","striped sea-bass",34816,"Actinopteri","Eupercaria incertae sedis","Moronidae","Morone","2019-04-26","Illumina GAIIx; PacBio RSII; Illumina HiSeq",17211
"GCF_022458985.1","Mugil cephalus","flathead mullet",48193,"Actinopteri","Mugiliformes","Mugilidae","Mugil","2022-03-04","PacBio Sequel; Illumina NovaSeq",20153794
"GCA_016735935.1","Mugilogobius chulae","yellowstripe goby",88201,"Actinopteri","Gobiiformes","Gobiidae","Mugilogobius","2021-01-27","Illumina HiSeq; PacBio RS",701221
"GCA_903171835.1","Mullus surmuletus","striped red mullet",87757,"Actinopteri","Mulliformes","Mullidae","Mullus","2020-06-05",NA,8436
"GCA_900302325.1","Muraenolepis marmorata","marbled moray cod",487677,"Actinopteri","Gadiformes","Muraenolepididae","Muraenolepis","2018-03-19",NA,3126
"GCA_027704905.1","Muraenolepis orangiensis","Patagonian moray cod",630683,"Actinopteri","Gadiformes","Muraenolepididae","Muraenolepis","2023-01-13","PacBio Sequel; Illumina NovaSeq",636888
"GCA_900312955.1","Myoxocephalus scorpius","shorthorn sculpin",8097,"Actinopteri","Perciformes","Cottidae","Myoxocephalus","2018-03-19",NA,5716
"GCA_900302555.1","Myripristis jacobus","blackbar soldierfish",371672,"Actinopteri","Holocentriformes","Holocentridae","Myripristis","2018-03-21",NA,9816
"GCF_902150065.1","Myripristis murdjan","pinecone soldierfish",586833,"Actinopteri","Holocentriformes","Holocentridae","Myripristis","2019-07-03",NA,14475636
"GCA_029783625.1","Naso annulatus","whitemargin unicornfish",238054,"Actinopteri","Acanthuriformes","Acanthuridae","Naso","2023-04-17","Illumina",5166
"GCA_029874485.1","Naso brachycentron","humpback unicornfish",175441,"Actinopteri","Acanthuriformes","Acanthuridae","Naso","2023-04-26","Illumina",5639
"GCA_029874835.1","Naso brevirostris","spotted unicornfish",238055,"Actinopteri","Acanthuriformes","Acanthuridae","Naso","2023-04-26","Illumina",9073
"GCA_029874875.1","Naso minor","slender unicorn",238063,"Actinopteri","Acanthuriformes","Acanthuridae","Naso","2023-04-26","Illumina",3536
"GCA_029783665.1","Naso thynnoides","oneknife unicornfish",238065,"Actinopteri","Acanthuriformes","Acanthuridae","Axinurus","2023-04-17","Illumina",10796
"GCA_029822935.1","Naso vlamingii","bignose unicornfish",238067,"Actinopteri","Acanthuriformes","Acanthuridae","Naso","2023-04-18","Illumina",3223
"GCA_030324005.1","Negaprion brevirostris","lemon shark",7821,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion","2023-06-22","Illumina",3446
"GCA_027576855.1","Nemapteryx armiger","threadfin catfish",591305,"Actinopteri","Siluriformes","Ariidae","Nemapteryx","2023-01-06","Illumina",2140
"GCA_027575955.1","Nemapteryx nenga",NA,591258,"Actinopteri","Siluriformes","Ariidae","Nemapteryx","2023-01-06","Illumina",2394
"GCA_027579695.1","Neoarius graeffei","lesser salmon catfish",443677,"Actinopteri","Siluriformes","Ariidae","Neoarius","2023-01-09","PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2",14859289
"GCA_025727735.1","Neoarius leptaspis","salmon catfish",591285,"Actinopteri","Siluriformes","Ariidae","Neoarius","2022-10-17","Illumina",2384
"GCA_029814605.1","Neoarius pectoralis",NA,2943267,"Actinopteri","Siluriformes","Ariidae","Neoarius","2023-04-18","Illumina",2157
"GCA_007210695.1","Neogobius melanostomus","round goby",47308,"Actinopteri","Gobiiformes","Gobiidae","Neogobius","2019-07-22","PacBio",2817412
"GCA_900302535.1","Neoniphon sammara","Sammara squirrelfish",47706,"Actinopteri","Holocentriformes","Holocentridae","Neoniphon","2018-03-21",NA,8761
"GCA_901007905.1","Nerophis ophidion","straightnose pipefish",159077,"Actinopteri","Syngnathiformes","Syngnathidae","Nerophis","2020-04-15",NA,5245
"GCA_027576575.1","Netuma bilineata","bronze catfish",591271,"Actinopteri","Siluriformes","Ariidae","Netuma","2023-01-06","Illumina",2781
"GCA_014281875.1","Nibea albiflora","white flower croaker",240163,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Nibea","2020-08-25","PacBio Sequel",4420150
"GCA_023373845.1","Nibea coibor",NA,396775,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Nibea","2022-05-16","PacBio Sequel",9638600
"GCA_025212355.1","Notarius kessleri","sculptured sea catfish",287704,"Actinopteri","Siluriformes","Ariidae","Notarius","2022-09-14","Illumina",2066
"GCA_025400055.1","Notarius lentiginosus","freckled sea catfish",591273,"Actinopteri","Siluriformes","Ariidae","Notarius","2022-09-25","Illumina",2663
"GCF_009762535.1","Notolabrus celidotus","New Zealand spotty",1203425,"Actinopteri","Eupercaria incertae sedis","Labridae","Notolabrus","2019-12-18","PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",3748462
"GCF_000735185.1","Notothenia coriiceps","black rockcod",8208,"Actinopteri","Perciformes","Nototheniidae","Notothenia","2014-07-29","Illumina HiSeq; 454; PacBio",17487
"GCA_949606895.1","Notothenia rossii","marbled rockcod",101497,"Actinopteri","Perciformes","Nototheniidae","Notothenia","2023-04-08","PacBio,Arima2",383412
"GCA_027574745.1","Occidentarius platypogon","cominate sea catfish",1198624,"Actinopteri","Siluriformes","Ariidae","Sciades","2023-01-06","Illumina",2161
"GCA_013396615.1","Oceanites oceanicus","Wilson's storm-petrel",79653,"Aves","Procellariiformes","Hydrobatidae","Oceanites","2020-07-10","Illumina HiSeq",28090
"GCA_030449065.1","Oceanodroma leucorhoa","Leach's storm-petrel",52124,"Aves","Procellariiformes","Hydrobatidae","Oceanodroma","2023-07-13","Illumina HiSeq",195584
"GCA_013397025.1","Oceanodroma tethys","Wedge-rumped storm-petrel",79633,"Aves","Procellariiformes","Hydrobatidae","Oceanodroma","2020-07-10","Illumina HiSeq",54514
"GCA_027942865.1","Odontesthes bonariensis","pejerrey",219752,"Actinopteri","Atheriniformes","Atherinopsidae","Odontesthes","2023-01-24","PacBio Sequel II HiFi",9831534
"GCF_021184085.1","Oncorhynchus gorbuscha","pink salmon",8017,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2021-12-15","Oxford Nanopore MinION; MGI; Illumina",1451475
"GCF_023373465.1","Oncorhynchus keta","chum salmon",8018,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2022-05-16","Oxford Nanopore MinION; Illumina HiSeq",2022835
"GCF_002021735.2","Oncorhynchus kisutch","coho salmon",8019,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2019-11-04","PacBio Sequel; Illumina HiSeq; PacBio RSII",1159298
"GCF_013265735.2","Oncorhynchus mykiss","rainbow trout",8022,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2020-09-23","PacBio Sequel; BioNano; Hi-C",15579713
"GCF_006149115.2","Oncorhynchus nerka","sockeye salmon",8023,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2019-06-07","Illumina HiSeq; PacBio Sequel",330763
"GCF_018296145.1","Oncorhynchus tshawytscha","Chinook salmon",74940,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","2021-05-07","Oxford Nanopore MinION; PacBio Sequel",2884253
"GCA_016806645.1","Ophiodon elongatus",NA,225387,"Actinopteri","Perciformes","Hexagrammidae","Ophiodon","2021-02-03","Illumina HiSeq; Oxford Nanopore MinION",1538303
"GCA_024529925.1","Ophthalmolycus amberensis",NA,948067,"Actinopteri","Perciformes","Zoarcidae","Ophthalmolycus","2022-08-04","PacBio RSII",1004506
"GCA_003416845.1","Oplegnathus fasciatus","barred knifejaw",163134,"Actinopteri","Centrarchiformes","Oplegnathidae","Oplegnathus","2018-08-22","Illumina HiSeq; Illumina NextSeq; PacBio RSII",29992
"GCA_900660325.1","Opsanus beta","Gulf toadfish",95145,"Actinopteri","Batrachoidiformes","Batrachoididae","Opsanus","2019-06-19",NA,3062
"GCF_937001465.1","Orcinus orca","killer whale",9733,"Mammalia","Cetartiodactyla","Delphinidae","Orcinus","2022-05-03",NA,45583382
"GCA_900302275.1","Osmerus eperlanus","European smelt",29151,"Actinopteri","Osmeriformes","Osmeridae","Osmerus","2018-03-18",NA,4524
"GCA_026413485.1","Osteogeneiosus militaris","soldier catfish",445392,"Actinopteri","Siluriformes","Ariidae","Osteogeneiosus","2022-11-27","Illumina",3467
"GCA_029822955.1","Ostorhinchus angustatus","broadstriped cardinalfish",316355,"Actinopteri","Kurtiformes","Apogonidae","Ostorhynchus","2023-04-18","Illumina",2939
"GCA_029814465.1","Ostorhinchus cyanosoma","yellowstriped cardinalfish",223981,"Actinopteri","Kurtiformes","Apogonidae","Ostorhynchus","2023-04-18","Illumina",5389
"GCA_030068375.1","Ostorhinchus rueppellii","gobbleguts",1399764,"Actinopteri","Kurtiformes","Apogonidae","Apogon","2023-05-24","Illumina",6061
"GCA_943590895.1","Pagetopsis macropterus",NA,36194,"Actinopteri","Perciformes","Channichthyidae","Pagetopsis","2022-06-10",NA,15552
"GCA_002897255.1","Pagrus major","red seabream",143350,"Actinopteri","Eupercaria incertae sedis","Sparidae","Pagrus","2017-12-28","Hiseq2000",2822
"GCA_000697985.1","Pampus argenteus","silver pomfret",206143,"Actinopteri","Perciformes","Stromateidae","Pampus","2014-06-03","Illumina HiSeq2000",1001
"GCA_013401275.1","Pandion haliaetus","osprey",56262,"Aves","Accipitriformes","Pandionidae","Pandion","2020-07-10","Illumina HiSeq",23447
"GCA_900302745.1","Parablennius parvicornis","rock-pool blenny",171872,"Actinopteri","Blenniiformes","Blenniidae","Parablennius","2018-03-19",NA,7343
"GCF_001970005.1","Paralichthys olivaceus","Japanese flounder",8255,"Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","2017-01-24","Illumina HiSeq",36690
"GCA_016785265.1","Paraplagusia blochii","Bloch's tonguesole",366904,"Actinopteri","Pleuronectiformes","Cynoglossidae","Paraplagusia","2021-02-01","Illumina HiSeq 4000",37510
"GCA_900302295.1","Parasudis fraserbrunneri",NA,1784818,"Actinopteri","Aulopiformes","Chlorophthalmidae","Parasudis","2018-03-21",NA,4177
"GCA_013400755.1","Pelecanoides urinatrix",NA,37079,"Aves","Procellariiformes","Pelecanoididae","Pelecanoides","2020-07-10","Illumina HiSeq",93910
"GCF_000687375.1","Pelecanus crispus","Dalmatian pelican",36300,"Aves","Pelecaniformes","Pelecanidae","Pelecanus","2014-05-09","Illumina HiSeq",21679
"GCA_000787095.1","Periophthalmodon schlosseri","giant mudskipper",1365757,"Actinopteri","Gobiiformes","Gobiidae","Periophthalmodon","2014-12-02","Hiseq 2000",16946
"GCA_019594935.1","Periophthalmus modestus","shuttles hoppfish",146921,"Actinopteri","Gobiiformes","Gobiidae","Periophthalmus","2021-08-13","PacBio Sequel; Illumina HiSeq",576039
"GCF_010993605.1","Petromyzon marinus","sea lamprey",7757,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","2020-02-24","PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",2540784
"GCF_000687285.1","Phaethon lepturus","White-tailed tropicbird",97097,"Aves","Pelecaniformes","Phaethontidae","Phaethon","2014-05-08","Illumina HiSeq",22941
"GCA_013399535.1","Phaetusa simplex","large-billed tern",297813,"Aves","Charadriiformes","Laridae","Phaetusa","2020-07-10","Illumina HiSeq",16901
"GCA_949628215.1","Phalacrocorax aristotelis","European shag",126867,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2023-04-08","PacBio,Arima2",11420000
"GCA_002173455.1","Phalacrocorax auritus","double-crested cormorant",56069,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2017-06-06","Illumina HiSeq",97559
"GCA_002174335.1","Phalacrocorax brasilianus","Neotropic cormorant",37046,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2017-06-06","Illumina HiSeq",35201
"GCF_000708925.1","Phalacrocorax carbo","great cormorant",9209,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2014-06-17","Illumina HiSeq",17343
"GCA_002173475.1","Phalacrocorax harrisi","Galapagos flightless cormorant",473964,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2017-06-06","Illumina HiSeq",100243
"GCA_002173435.1","Phalacrocorax pelagicus","Pelagic cormorant",2723871,"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","2017-06-06","Illumina HiSeq",67731
"GCF_004348235.1","Phoca vitulina","harbor seal",9720,"Mammalia","Carnivora","Phocidae","Phoca","2019-02-11","Illumina HiSeq",283887
"GCA_004363495.1","Phocoena phocoena","harbor porpoise",9742,"Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","2019-03-22","Illumina HiSeq",89111
"GCF_008692025.1","Phocoena sinus","vaquita",42100,"Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","2019-09-26","PacBio Sequel I; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLE-1",20218762
"GCA_014363385.1","Phoebastria albatrus",NA,54023,"Aves","Procellariiformes","Diomedeidae","Phoebastria","2020-08-22","Illumina Novaseq6000",43134
"GCA_020510985.1","Pholidichthys leucotaenia",NA,390368,"Actinopteri","Cichliformes","Pholidichthyidae","Pholidichthys","2021-10-15","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",5867598
"GCA_910591455.2","Pholis gunnellus","rock gunnel",56726,"Actinopteri","Perciformes","Pholidae","Pholis","2021-11-18",NA,3519450
"GCA_900302315.1","Phycis blennoides",NA,163115,"Actinopteri","Gadiformes","Phycidae","Phycis","2018-03-18",NA,4532
"GCA_027123565.1","Phycis chesteri",NA,348446,"Actinopteri","Gadiformes","Phycidae","Phycis","2022-12-20","Illumina",2329
"GCA_900302335.1","Phycis phycis",NA,349666,"Actinopteri","Gadiformes","Phycidae","Phycis","2018-03-18",NA,3458
"GCA_024500275.1","Phycodurus eques","leafy seadragon",693459,"Actinopteri","Syngnathiformes","Syngnathidae","Phycodurus","2022-08-03","PacBio Sequel",16851628
"GCA_019802545.1","Phyllopteryx taeniolatus","common seadragon",161469,"Actinopteri","Syngnathiformes","Syngnathidae","Phyllopteryx","2021-09-09","PacBio Sequel; Illumina HiSeq",12818866
"GCF_002837175.3","Physeter catodon","sperm whale",9755,"Mammalia","Cetartiodactyla","Physeteridae","Physeter","2023-02-28","BGISEQ-500",42877
"GCA_005024645.1","Planiliza haematocheilus","so-iny mullet",370040,"Actinopteri","Mugiliformes","Mugilidae","Mugil","2019-05-01","PacBio Sequel; Illumina HiSeq",3973280
"GCA_949316205.1","Platichthys flesus","European flounder",8260,"Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","2023-04-05","PacBio,Arima2",2078972
"GCA_016801935.1","Platichthys stellatus","starry flounder",195632,"Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","2021-02-04","Illumina HiSeq 4000",33203
"GCA_019972215.1","Plecoglossus altivelis","ayu",61084,"Actinopteri","Osmeriformes","Plecoglossidae","Plecoglossus","2021-07-20","HiSeq2000; PacBio RSII",113526
"GCF_008729295.1","Plectropomus leopardus","leopard coralgrouper",160734,"Actinopteri","Perciformes","Serranidae","Plectropomus","2020-05-27","PacBio",897070
"GCF_947347685.1","Pleuronectes platessa","European plaice",8262,"Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","2022-11-29","PacBio,Arima2",1477112
"GCA_027576555.1","Plicofollis layardi",NA,591282,"Actinopteri","Siluriformes","Ariidae","Arius","2023-01-06","Illumina",2295
"GCA_027576675.1","Plicofollis nella","smooth-headed catfish",435004,"Actinopteri","Siluriformes","Ariidae","Plicofollis","2023-01-06","Illumina",2119
"GCA_027576095.1","Plicofollis tonggol","roughback sea catfish",591283,"Actinopteri","Siluriformes","Ariidae","Plicofollis","2023-01-06","Illumina",2028
"GCA_024760905.1","Plotosus lineatus","striped eel catfish",243562,"Actinopteri","Siluriformes","Plotosidae","Plotosus","2022-08-29","Oxford Nanopore GridION; PacBio Sequel",36883020
"GCA_017639485.1","Pluvialis apricaria",NA,670352,"Aves","Charadriiformes","Charadriidae","Pluvialis","2021-03-30","PacBio Sequel II CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",15203797
"GCA_013400795.1","Pluvianellus socialis","magellanic plover",227228,"Aves","Charadriiformes","Pluvianellidae","Pluvianellus","2020-07-10","Illumina HiSeq",48629
"GCA_000699545.1","Podiceps cristatus","great crested grebe",345573,"Aves","Podicipediformes","Podicipedidae","Podiceps","2014-06-11","Illumina HiSeq",17412
"GCA_013399565.1","Podilymbus podiceps",NA,9252,"Aves","Podicipediformes","Podicipedidae","Podilymbus","2020-07-10","Illumina HiSeq",35810
"GCF_001443285.1","Poecilia latipinna","sailfin molly",48699,"Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","2015-11-13","Illumina",33278
"GCA_028583405.1","Pogonophryne albipinna",NA,1090488,"Actinopteri","Perciformes","Artedidraconidae","Pogonophryne","2023-02-10","PacBio Sequel; Illumina NovaSeq",962244
"GCA_949987615.1","Pollachius pollachius","pollack",185739,"Actinopteri","Gadiformes","Gadidae","Pollachius","2023-05-03","PacBio,Arima2",606672
"GCA_900312635.1","Pollachius virens","saithe",8060,"Actinopteri","Gadiformes","Gadidae","Pollachius","2018-03-18",NA,3457
"GCA_016801845.1","Polydactylus sextarius","blackspot threadfin",435218,"Actinopteri","Carangaria incertae sedis","Polynemidae","Polydactylus","2021-02-04","Oxford Nanopore GridION",18418211
"GCA_900302305.1","Polymixia japonica","silver eye",81385,"Actinopteri","Polymixiiformes","Polymixiidae","Polymixia","2018-03-19",NA,5803
"GCA_029875035.1","Pomatoschistus microps","common goby",225753,"Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","2023-04-26","Illumina NovaSeq",1850
"GCA_011754075.1","Pontoporia blainvillei","franciscana",48723,"Mammalia","Cetartiodactyla","Pontoporiidae","Pontoporia","2020-03-25","Illumina HiSeq",5888
"GCF_009764475.1","Pristis pectinata","smalltooth sawfish",685728,"Elasmobranchii","Rhinopristiformes","Pristidae","Pristis","2019-12-19","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",17009522
"GCA_028641955.1","Protonibea diacanthus",NA,335060,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Protonibea","2023-02-22","Oxford Nanopore GridION; BGI-Seq 500",4776643
"GCA_030340685.1","Protosalanx chinensis",NA,240822,"Actinopteri","Osmeriformes","Salangidae","Protosalanx","2023-06-28","PacBio Sequel",527449
"GCA_016785225.1","Psettodes erumei","Indian spiny turbot",195640,"Actinopteri","Pleuronectiformes","Psettodidae","Psettodes","2021-02-01","Oxford Nanopore GridION",2454095
"GCA_029823295.1","Pseudamia nigra",NA,2943275,"Actinopteri","Kurtiformes","Apogonidae","Pseudamia","2023-04-18","Illumina",6114
"GCF_902827115.1","Pseudochaenichthys georgianus","South Georgia icefish",52239,"Actinopteri","Perciformes","Channichthyidae","Pseudochaenichthys","2020-04-15",NA,661283
"GCA_902827115.2","Pseudochaenichthys georgianus","South Georgia icefish",52239,"Actinopteri","Perciformes","Channichthyidae","Pseudochaenichthys","2022-11-04","PacBio,Illumina,Dovetail",656910
"GCA_900323345.1","Pseudochromis fuscus","brown dottyback",280673,"Actinopteri","Ovalentaria incertae sedis","Pseudochromidae","Pseudochromis","2018-03-26",NA,12029
"GCF_029220125.1","Pseudoliparis swirei",NA,2059687,"Actinopteri","Perciformes","Liparidae","Pseudoliparis","2023-03-16","Oxford Nanopore GridION",4219354
"GCA_016785235.1","Pseudorhombus dupliciocellatus","ocellated flounder",367197,"Actinopteri","Pleuronectiformes","Paralichthyidae","Pseudorhombus","2021-02-01","Illumina HiSeq 4000",538669
"GCA_947000775.1","Pterois miles","devil firefish",185883,"Actinopteri","Perciformes","Scorpaenidae","Pterois","2023-01-12","""MinION,ILLUMINA""",14490642
"GCA_023333565.1","Puffinus mauretanicus",NA,48681,"Aves","Procellariiformes","Procellariidae","Puffinus","2022-05-11","Illumina HiSeq; Oxford Nanopore MinION",2082814
"GCF_902500615.1","Pungitius pungitius","ninespine stickleback",134920,"Actinopteri","Perciformes","Gasterosteidae","Pungitius","2020-10-12",NA,2775277
"GCF_000699105.1","Pygoscelis adeliae","Adelie penguin",9238,"Aves","Sphenisciformes","Spheniscidae","Pygoscelis","2014-06-06","Illumina HiSeq",22195
"GCA_010078415.1","Pygoscelis antarcticus","chinstrap penguin",79643,"Aves","Sphenisciformes","Spheniscidae","Pygoscelis","2020-01-31","BGISEQ",136952
"GCA_030512405.1","Pygoscelis papua","Gentoo penguin",30457,"Aves","Sphenisciformes","Spheniscidae","Pygoscelis","2023-07-20","BGISEQ",101743
"GCA_024605115.1","Rastrelliger brachysoma","short mackerel",334878,"Actinopteri","Scombriformes","Scombridae","Rastrelliger","2022-08-09","Illumina NovaSeq",3816
"GCA_024605255.1","Rastrelliger kanagurta","Indian mackerel",70446,"Actinopteri","Scombriformes","Scombridae","Rastrelliger","2022-08-09","Illumina NovaSeq",1033
"GCA_004023745.1","Recurvirostra avosetta","Pied Avocet",171275,"Aves","Charadriiformes","Recurvirostridae","Recurvirostra","2019-01-15","Illumina NextSeq",10462
"GCA_900302585.1","Regalecus glesne","king of herrings",81389,"Actinopteri","Lampriformes","Regalecidae","Regalecus","2018-03-20",NA,6781
"GCA_006182925.3","Reinhardtius hippoglossoides","Greenland flounder",111784,"Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius","2021-05-25","PacBio Sequel",3108829
"GCA_030265395.1","Rhina ancylostoma",NA,195328,"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Rhina","2023-06-13","Illumina",4392
"GCF_021869965.1","Rhincodon typus","whale shark",259920,"Elasmobranchii","Orectolobiformes","Rhincodontidae","Rhincodon","2022-02-03","Illumina HiSeq",48454
"GCF_028500815.1","Rissa tridactyla","black-legged kittiwake",75485,"Aves","Charadriiformes","Laridae","Larus","2023-02-09","PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2",15653959
"GCA_900302605.1","Rondeletia loricata","redmouth whalefish",88713,"Actinopteri","Beryciformes","Rondeletiidae","Rondeletia","2018-03-19",NA,5112
"GCA_013400035.1","Rynchops niger","black skimmer",227184,"Aves","Charadriiformes","Rynchopidae","Rynchops","2020-07-10","Illumina HiSeq",57549
